β,U,ndens,μ_dmft,μ_sc,λsp_old,λsp,λch,λsp_sc,λch_sc,χAF,χAF_m,χAF_dm,χAF_dm_sc,χd0,χd0_m,χd0_dm,χd0_dm_sc,χdπ,χdπ_m,χdπ_dm,χdπ_dm_sc,χ0_i_0_dmft,χ0_i_π_dmft,χ0_i_0,χ0_i_π
20.0,2.0,0.833807330827281,0.4,0.3554961586792349,0.008304940962637638,0.30070571927916795,-4.184073066554917,0.024734679833275416,-1.499220119494467,8.605466584476817,8.031474063954926,2.398593906162641,7.095223671061935,0.20336517214480737,0.20336517214480737,1.3639034021317593,0.29256509863551006,0.1963801015861243,0.1963801015861243,1.1012093492162882,0.2783231758839806,556.6678991665265,556.575404180042,1.864128885698064e6,521408.58283553354
20.0,2.0,0.841220067172996,0.42,0.33155403758011215,0.013568823474077271,0.09989978298898913,-3.6150730909749376,0.0009381606479578722,2.8537216380148234,9.899306422181805,8.727069504030831,4.977180595095991,9.808216148335985,0.19813250961937307,0.19813250961937307,0.698297583825981,0.1265686772105827,0.18931233259890998,0.18931233259890998,0.599806997722853,0.12291055610422773,556.677085382195,556.5845748702206,9621.708150236742,-2599.7512617124344
20.0,2.0,0.857588029532075,0.46,0.3692661280814942,0.013630984710404767,0.09828512591175534,-4.029261102211463,0.0005501273329428171,4.006954740203519,12.73852382099109,10.853872364634453,5.656519477247911,12.6498758925017,0.18741227456803883,0.18741227456803883,0.7653635050009363,0.10703447087172825,0.17402457528540907,0.17402457528540907,0.5823929538582424,0.10252972005691588,556.6989935181592,556.6064371940323,279.62750197375846,285.19850061741147
20.0,2.0,0.863494478027742,0.48,0.3586919968839349,0.019845627121392723,0.0982931313034284,-4.183301004530904,-0.00742972385021939,27.111880820752592,14.98179848562142,11.54823920763507,6.0591081069562245,16.85830720606879,0.18153012469051527,0.18153012469051527,0.7544740969753725,0.03065546750299317,0.16802523731195834,0.16802523731195834,0.5655513926973904,0.0302449529103476,556.7064289696289,556.6138607498973,13266.42340567621,26748.63237729146
20.0,2.0,0.871578796357913,0.5,0.40074113975667,0.022803433449004172,0.09320335300643509,-4.302182645645472,0.00959174940532735,5.69319749151658,19.039388312463455,13.275605827034111,6.862191134598084,16.099314695035552,0.17758936721966007,0.17758936721966007,0.7525671343280719,0.08830672976348233,0.16199895894373684,0.16199895894373684,0.5345602477073591,0.08427385294418586,556.7158121764584,556.6232194792717,-2.371624366152147e7,8.789388240449144e6
20.0,2.0,0.879539426910328,0.52,0.4096498384495934,0.0198714209928682,0.03612552463581723,-2.5606364772121033,0.01274431154368101,2.6938994692932745,20.783206197234016,14.708652668730437,11.870662562333395,16.431131052139477,0.1720560425300375,0.1720560425300375,0.30755761870031506,0.1175646360275014,0.1553152506641479,0.1553152506641479,0.2578727729769387,0.10950003430103472,556.7255424392711,556.6329275542213,25509.21464247166,-69965.55730253758
20.0,2.0,0.881454657335316,0.53,0.41764388955001597,0.022914541600787788,0.03288829428372019,-1.9101357121626594,0.018629469926365546,1.5270500572825407,22.05259936936981,14.64972438282879,12.782097281204736,15.630959740480225,0.16815261127573583,0.16815261127573583,0.24771832827939988,0.133796648443571,0.1531147139405935,0.1531147139405935,0.2164073447833802,0.12409871723216012,556.7284760705177,556.6358607088713,312009.48142674274,-248692.72026354267
20.0,2.0,0.886350828500324,0.54,0.44579008710470475,0.02282379721628459,0.029788692141713126,-1.59113710833764,0.011708293471459498,6.180480007757956,26.70934641223879,16.593689079727298,14.874584275952893,20.34655432044711,0.16722594947146435,0.16722594947146435,0.22785292113169978,0.08223404800719053,0.14963956545241353,0.14963956545241353,0.19640240071276904,0.07774112541824402,556.733907830589,556.6412711931915,NaN,NaN
20.0,2.0,0.888250995043881,0.55,0.43580688624887504,0.03142006518736913,0.03380060459438303,-0.5693136108515036,0.011428214334941424,26.97945416996811,34.71157975356039,16.603326309766118,15.972033712624297,24.852720090085487,0.1648563762727492,0.1648563762727492,0.18193155888349472,0.03026145266093105,0.1492703196385203,0.1492703196385203,0.16313368524877225,0.0296923490167468,556.7350065630445,556.6423745781435,-808980.7705192864,4.225169857166329e6
20.0,2.0,0.89945044613425,0.58,0.48109364581902064,0.029018767798682284,0.028219393092849574,0.3847736415653065,0.017488803355725755,9.734756741913491,48.26776833612565,20.105947499212526,20.434372532646453,26.17351402288165,0.15736697973392266,0.15736697973392266,0.1483823308027924,0.06215299210368273,0.1398889302103285,0.1398889302103285,0.1327439130177148,0.05923017869760796,556.7476275464571,556.6549570736548,273.22164998471953,279.2104653290509
20.0,2.0,0.901599344668153,0.59,0.5051621924957189,0.037149266833160915,0.034191070221669125,1.4806432866706722,0.03419107022166923,1.4806432866706223,97.16450645578612,21.07877332344832,22.480551622803954,22.480551622803905,0.15558232627056956,0.15558232627056956,0.1264524875703906,0.12645248757039138,0.13902852377036878,0.13902852377036878,0.1152948820254795,0.11529488202548015,556.7494735993289,556.6567997413573,281.2265359163937,278.34103886899703
